date,Ticker,open,high,low,close,volume
2023-10-11,AAPL,176.4714829606774,178.10548726772782,175.87731193966175,178.05596923828125,47551100
2023-10-12,AAPL,178.3233466007442,180.57131695227562,177.30332359387822,178.95713806152344,56743100
2023-10-13,AAPL,179.6602521369707,180.16529977566208,176.41206884050376,177.1151885986328,51427100
2023-10-16,AAPL,175.03554253225207,177.3429435766639,174.79786506856496,176.98643493652344,52517000
2023-10-17,AAPL,174.93652105173172,176.68935660434693,173.10447478206885,175.43167114257812,57549400
2023-10-18,AAPL,173.876881069792,175.85748112966783,173.41143884685883,174.1343536376953,54764400
2023-10-19,AAPL,174.33241738277906,176.11496052795673,173.4906713911534,173.758056640625,59302900
2023-10-20,AAPL,173.60948564320893,173.718419244541,170.96538653172513,171.20306396484375,64244000
2023-10-23,AAPL,169.25219112217718,172.32211231863303,168.2816861592976,171.32191467285156,55980100
2023-10-24,AAPL,171.37139778577966,171.98537887782857,169.786911928572,171.7576141357422,43816600
2023-10-25,AAPL,170.21277093543316,171.38131769667615,168.99469104064445,169.44033813476562,57157000
2023-10-26,AAPL,168.71737250428532,169.71758497563454,164.06296645502678,165.27113342285156,70625300
2023-10-27,AAPL,165.29098147440294,167.3210995561,165.21175565878588,166.58827209472656,58499100
2023-10-30,AAPL,167.3805285943209,169.50966778359705,167.23197451155576,168.63819885253906,51131000
2023-10-31,AAPL,167.70733154956025,169.24228464861295,166.27138428536674,169.11355590820312,44846000
2023-11-01,AAPL,169.34129385969914,172.53995851269775,168.4698250558493,172.28248596191406,56934900
2023-11-02,AAPL,173.81746191423957,176.05553449603235,173.7580463313888,175.8475799560547,77334800
2023-11-03,AAPL,172.54988135003077,175.10485722122252,171.6685149344893,174.93649291992188,79829200
2023-11-06,AAPL,174.66912431484397,177.68952732097137,174.50077512285628,177.49147033691406,63841300
2023-11-07,AAPL,177.44195927584823,180.67034717470034,177.23400472320088,180.05636596679688,70530000
